S.No.,Description,Sub Class,Class,Group,Division,Section
260,"Services related to other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing like egg powder, sambar powder etc. (this excludes the covered under 10619)",10799,1079,107,Manufacture of food products,Manufacturing
261,Manufacture of cattle feed,10801,1080,108,Manufacture of food products,Manufacturing
261,Cattle feed related business activity,10801,1080,108,Manufacture of food products,Manufacturing
261,Services related to cattle feed,10801,1080,108,Manufacture of food products,Manufacturing
262,Manufacture of poultry feed,10802,1080,108,Manufacture of food products,Manufacturing
262,Poultry feed related business activity,10802,1080,108,Manufacture of food products,Manufacturing
262,Services related to poultry feed,10802,1080,108,Manufacture of food products,Manufacturing
263,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc.",10803,1080,108,Manufacture of food products,Manufacturing
263,"Prepared feeds for pets, including dogs, cats, birds, fish etc. related business activity",10803,1080,108,Manufacture of food products,Manufacturing
263,"Services related to prepared feeds for pets, including dogs, cats, birds, fish etc.",10803,1080,108,Manufacture of food products,Manufacturing
264,Manufacture of other animal feeds n.e.c.,10809,1080,108,Manufacture of food products,Manufacturing
264,Other animal feeds n.e.c. related business activity,10809,1080,108,Manufacture of food products,Manufacturing
264,Services related to other animal feeds n.e.c.,10809,1080,108,Manufacture of food products,Manufacturing
265,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, Ã¢â¬Åmixed drinksÃ¢â¬Â etc.",11011,1101,110,Manufacture of beverages,Manufacturing
265,"Distilled, potable, alcoholic beverages such as whisky, brandy, gin, ã¢â¬åmixed drinksã¢â¬â etc. related business activity",11011,1101,110,Manufacture of beverages,Manufacturing
265,"Services related to distilled, potable, alcoholic beverages such as whisky, brandy, gin, ã¢â¬åmixed drinksã¢â¬â etc.",11011,1101,110,Manufacture of beverages,Manufacturing
266,Manufacture of country liquor,11012,1101,110,Manufacture of beverages,Manufacturing
266,Country liquor related business activity,11012,1101,110,Manufacture of beverages,Manufacturing
266,Services related to country liquor,11012,1101,110,Manufacture of beverages,Manufacturing
267,"Distilling, rectifying and blending of spirits",11019,1101,110,Manufacture of beverages,Manufacturing
267,"Distilling, rectifying and blending spirits related business activity",11019,1101,110,Manufacture of beverages,Manufacturing
267,"Services related to distilling, rectifying and blending spirits",11019,1101,110,Manufacture of beverages,Manufacturing
268,Manufacture of wines,11020,1102,110,Manufacture of beverages,Manufacturing
268,Wines related business activity,11020,1102,110,Manufacture of beverages,Manufacturing
268,Services related to wines,11020,1102,110,Manufacture of beverages,Manufacturing
269,Manufacture of beer,11031,1103,110,Manufacture of beverages,Manufacturing
269,Beer related business activity,11031,1103,110,Manufacture of beverages,Manufacturing
269,Services related to beer,11031,1103,110,Manufacture of beverages,Manufacturing
270,Manufacture of malt liquors other than beer,11032,1103,110,Manufacture of beverages,Manufacturing
270,Malt liquors other than beer related business activity,11032,1103,110,Manufacture of beverages,Manufacturing
270,Services related to malt liquors other than beer,11032,1103,110,Manufacture of beverages,Manufacturing
271,Manufacture of malt,11033,1103,110,Manufacture of beverages,Manufacturing
271,Malt related business activity,11033,1103,110,Manufacture of beverages,Manufacturing
271,Services related to malt,11033,1103,110,Manufacture of beverages,Manufacturing
272,Manufacture of malt liquors and malt n.e.c.,11039,1103,110,Manufacture of beverages,Manufacturing
272,Malt liquors and malt n.e.c. related business activity,11039,1103,110,Manufacture of beverages,Manufacturing
272,Services related to malt liquors and malt n.e.c.,11039,1103,110,Manufacture of beverages,Manufacturing
273,Manufacture of aerated drinks,11041,1104,110,Manufacture of beverages,Manufacturing
273,Aerated drinks related business activity,11041,1104,110,Manufacture of beverages,Manufacturing
273,Services related to aerated drinks,11041,1104,110,Manufacture of beverages,Manufacturing
274,Manufacture of synthetic flavoured concentrates and syrups,11042,1104,110,Manufacture of beverages,Manufacturing
274,Synthetic flavoured concentrates and syrups related business activity,11042,1104,110,Manufacture of beverages,Manufacturing
274,Services related to synthetic flavoured concentrates and syrups,11042,1104,110,Manufacture of beverages,Manufacturing
275,Manufacture of mineral water,11043,1104,110,Manufacture of beverages,Manufacturing
275,Mineral water related business activity,11043,1104,110,Manufacture of beverages,Manufacturing
275,Services related to mineral water,11043,1104,110,Manufacture of beverages,Manufacturing
276,Manufacture of ice,11044,1104,110,Manufacture of beverages,Manufacturing
276,Ice related business activity,11044,1104,110,Manufacture of beverages,Manufacturing
276,Services related to ice,11044,1104,110,Manufacture of beverages,Manufacturing
277,Manufacture of soft drinks,11045,1104,110,Manufacture of beverages,Manufacturing
277,Soft drinks related business activity,11045,1104,110,Manufacture of beverages,Manufacturing
277,Services related to soft drinks,11045,1104,110,Manufacture of beverages,Manufacturing
278,Manufacture of other non-alcoholic beverages n.e.c.,11049,1104,110,Manufacture of beverages,Manufacturing
278,Other non-alcoholic beverages n.e.c. related business activity,11049,1104,110,Manufacture of beverages,Manufacturing
278,Services related to other non-alcoholic beverages n.e.c.,11049,1104,110,Manufacture of beverages,Manufacturing
279,Stemming and redrying of tobacco,12001,1200,120,Manufacture of tobacco products,Manufacturing
279,Stemming and redrying tobacco related business activity,12001,1200,120,Manufacture of tobacco products,Manufacturing
279,Services related to stemming and redrying tobacco,12001,1200,120,Manufacture of tobacco products,Manufacturing
280,Manufacture of bidi,12002,1200,120,Manufacture of tobacco products,Manufacturing
280,Bidi related business activity,12002,1200,120,Manufacture of tobacco products,Manufacturing
280,Services related to bidi,12002,1200,120,Manufacture of tobacco products,Manufacturing
281,"Manufacture of cigarettes, cigarette tobacco",12003,1200,120,Manufacture of tobacco products,Manufacturing
281,"Cigarettes, cigarette tobacco related business activity",12003,1200,120,Manufacture of tobacco products,Manufacturing
281,"Services related to cigarettes, cigarette tobacco",12003,1200,120,Manufacture of tobacco products,Manufacturing
282,Manufacture of cigars and cheroots,12004,1200,120,Manufacture of tobacco products,Manufacturing
282,Cigars and cheroots related business activity,12004,1200,120,Manufacture of tobacco products,Manufacturing
282,Services related to cigars and cheroots,12004,1200,120,Manufacture of tobacco products,Manufacturing
283,Manufacture of snuff,12005,1200,120,Manufacture of tobacco products,Manufacturing
283,Snuff related business activity,12005,1200,120,Manufacture of tobacco products,Manufacturing
283,Services related to snuff,12005,1200,120,Manufacture of tobacco products,Manufacturing
284,Manufacture of zarda,12006,1200,120,Manufacture of tobacco products,Manufacturing
284,Zarda related business activity,12006,1200,120,Manufacture of tobacco products,Manufacturing
284,Services related to zarda,12006,1200,120,Manufacture of tobacco products,Manufacturing
285,Manufacture of catechu(katha) and chewing lime,12007,1200,120,Manufacture of tobacco products,Manufacturing
285,Catechu(katha) and chewing lime related business activity,12007,1200,120,Manufacture of tobacco products,Manufacturing
285,Services related to catechu(katha) and chewing lime,12007,1200,120,Manufacture of tobacco products,Manufacturing
286,Manufacture of pan masala and related products.,12008,1200,120,Manufacture of tobacco products,Manufacturing
286,Pan masala and related products. related business activity,12008,1200,120,Manufacture of tobacco products,Manufacturing
286,Services related to pan masala and related products.,12008,1200,120,Manufacture of tobacco products,Manufacturing
287,Manufacture of other tobacco products including chewing tobacco n.e.c.,12009,1200,120,Manufacture of tobacco products,Manufacturing
287,Other tobacco products including chewing tobacco n.e.c. related business activity,12009,1200,120,Manufacture of tobacco products,Manufacturing
287,Services related to other tobacco products including chewing tobacco n.e.c.,12009,1200,120,Manufacture of tobacco products,Manufacturing
288,Preparation and spinning of cotton fiber including blended* cotton,13111,1311,131,Manufacture of textiles,Manufacturing
288,Preparation and spinning cotton fiber including blended* cotton related business activity,13111,1311,131,Manufacture of textiles,Manufacturing
288,Services related to preparation and spinning cotton fiber including blended* cotton,13111,1311,131,Manufacture of textiles,Manufacturing
289,Preparation and spinning of silk fiber including blended* silk,13112,1311,131,Manufacture of textiles,Manufacturing
289,Preparation and spinning silk fiber including blended* silk related business activity,13112,1311,131,Manufacture of textiles,Manufacturing
289,Services related to preparation and spinning silk fiber including blended* silk,13112,1311,131,Manufacture of textiles,Manufacturing
290,"Preparation and spinning of wool, including other animal hair and blended* wool including other animal hair",13113,1311,131,Manufacture of textiles,Manufacturing
290,"Preparation and spinning wool, including other animal hair and blended* wool including other animal hair related business activity",13113,1311,131,Manufacture of textiles,Manufacturing
290,"Services related to preparation and spinning wool, including other animal hair and blended* wool including other animal hair",13113,1311,131,Manufacture of textiles,Manufacturing
291,Preparation and spinning of man-made fiber including blended* man-made fiber,13114,1311,131,Manufacture of textiles,Manufacturing
291,Preparation and spinning man-made fiber including blended* man-made fiber related business activity,13114,1311,131,Manufacture of textiles,Manufacturing
291,Services related to preparation and spinning man-made fiber including blended* man-made fiber,13114,1311,131,Manufacture of textiles,Manufacturing
292,"Preparation and spinning of jute, mesta and other natural fibers including blended natural fibers n.e.c. *Blended yarn/fabrics means, yarn/fabrics containing more than 50% of one fiber.",13119,1311,131,Manufacture of textiles,Manufacturing
292,"Preparation and spinning jute, mesta and other natural fibers including blended natural fibers n.e.c. *blended yarn/fabrics means, yarn/fabrics containing more than 50% one fiber. related business activity",13119,1311,131,Manufacture of textiles,Manufacturing
292,"Services related to preparation and spinning jute, mesta and other natural fibers including blended natural fibers n.e.c. *blended yarn/fabrics means, yarn/fabrics containing more than 50% one fiber.",13119,1311,131,Manufacture of textiles,Manufacturing
293,"Weaving, manufacture of cotton and cotton mixture fabrics.",13121,1312,131,Manufacture of textiles,Manufacturing
293,"Weaving, cotton and cotton mixture fabrics. related business activity",13121,1312,131,Manufacture of textiles,Manufacturing
293,"Services related to weaving, cotton and cotton mixture fabrics.",13121,1312,131,Manufacture of textiles,Manufacturing
294,"Weaving, manufacture of silk and silk mixture fabrics.",13122,1312,131,Manufacture of textiles,Manufacturing
294,"Weaving, silk and silk mixture fabrics. related business activity",13122,1312,131,Manufacture of textiles,Manufacturing
294,"Services related to weaving, silk and silk mixture fabrics.",13122,1312,131,Manufacture of textiles,Manufacturing
295,"Weaving, manufacture of wool and wool mixture fabrics.",13123,1312,131,Manufacture of textiles,Manufacturing
295,"Weaving, wool and wool mixture fabrics. related business activity",13123,1312,131,Manufacture of textiles,Manufacturing
295,"Services related to weaving, wool and wool mixture fabrics.",13123,1312,131,Manufacture of textiles,Manufacturing
296,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics.",13124,1312,131,Manufacture of textiles,Manufacturing
296,"Weaving, manufacturing man-made fiber and man-made mixture fabrics. related business activity",13124,1312,131,Manufacture of textiles,Manufacturing
296,"Services related to weaving, manufacturing man-made fiber and man-made mixture fabrics.",13124,1312,131,Manufacture of textiles,Manufacturing
297,"Weaving of jute, mesta and other natural fibers including blended natural fibers n.e.c.",13129,1312,131,Manufacture of textiles,Manufacturing
297,"Weaving jute, mesta and other natural fibers including blended natural fibers n.e.c. related business activity",13129,1312,131,Manufacture of textiles,Manufacturing
297,"Services related to weaving jute, mesta and other natural fibers including blended natural fibers n.e.c.",13129,1312,131,Manufacture of textiles,Manufacturing
298,Finishing of cotton and blended cotton textiles.,13131,1313,131,Manufacture of textiles,Manufacturing
298,Finishing cotton and blended cotton textiles. related business activity,13131,1313,131,Manufacture of textiles,Manufacturing
298,Services related to finishing cotton and blended cotton textiles.,13131,1313,131,Manufacture of textiles,Manufacturing
299,Finishing of silk and blended silk textiles.,13132,1313,131,Manufacture of textiles,Manufacturing
299,Finishing silk and blended silk textiles. related business activity,13132,1313,131,Manufacture of textiles,Manufacturing
299,Services related to finishing silk and blended silk textiles.,13132,1313,131,Manufacture of textiles,Manufacturing
300,Finishing of wool and blended wool textiles.,13133,1313,131,Manufacture of textiles,Manufacturing
300,Finishing wool and blended wool textiles. related business activity,13133,1313,131,Manufacture of textiles,Manufacturing
300,Services related to finishing wool and blended wool textiles.,13133,1313,131,Manufacture of textiles,Manufacturing
301,Finishing of man-made and blended man-made textiles.,13134,1313,131,Manufacture of textiles,Manufacturing
301,Finishing man-made and blended man-made textiles. related business activity,13134,1313,131,Manufacture of textiles,Manufacturing
301,Services related to finishing man-made and blended man-made textiles.,13134,1313,131,Manufacture of textiles,Manufacturing
302,"Finishing of jute, mesta and other vegetable textiles fabrics",13135,1313,131,Manufacture of textiles,Manufacturing
302,"Finishing jute, mesta and other vegetable textiles fabrics related business activity",13135,1313,131,Manufacture of textiles,Manufacturing
302,"Services related to finishing jute, mesta and other vegetable textiles fabrics",13135,1313,131,Manufacture of textiles,Manufacturing
303,Activity related to screen printing,13136,1313,131,Manufacture of textiles,Manufacturing
303,Related to screen printing related business activity,13136,1313,131,Manufacture of textiles,Manufacturing
303,Services related to related to screen printing,13136,1313,131,Manufacture of textiles,Manufacturing
304,Other activities relating to finishing of textile n.e.c.,13139,1313,131,Manufacture of textiles,Manufacturing
304,Other relating to finishing textile n.e.c. related business activity,13139,1313,131,Manufacture of textiles,Manufacturing
304,Services related to other relating to finishing textile n.e.c.,13139,1313,131,Manufacture of textiles,Manufacturing
305,Manufacture of knitted and crocheted cotton fabrics,13911,1391,139,Manufacture of textiles,Manufacturing
305,Knitted and crocheted cotton fabrics related business activity,13911,1391,139,Manufacture of textiles,Manufacturing
305,Services related to knitted and crocheted cotton fabrics,13911,1391,139,Manufacture of textiles,Manufacturing
306,Manufacture of knitted and crocheted woolen fabrics,13912,1391,139,Manufacture of textiles,Manufacturing
306,Knitted and crocheted woolen fabrics related business activity,13912,1391,139,Manufacture of textiles,Manufacturing
306,Services related to knitted and crocheted woolen fabrics,13912,1391,139,Manufacture of textiles,Manufacturing
307,Manufacture of knitted and crocheted synthetic fabrics,13913,1391,139,Manufacture of textiles,Manufacturing
307,Knitted and crocheted synthetic fabrics related business activity,13913,1391,139,Manufacture of textiles,Manufacturing
307,Services related to knitted and crocheted synthetic fabrics,13913,1391,139,Manufacture of textiles,Manufacturing
308,Manufacture of other knitted and crocheted fabrics,13919,1391,139,Manufacture of textiles,Manufacturing
308,Other knitted and crocheted fabrics related business activity,13919,1391,139,Manufacture of textiles,Manufacturing
308,Services related to other knitted and crocheted fabrics,13919,1391,139,Manufacture of textiles,Manufacturing
309,"Manufacture of curtains, bed covers and furnishings",13921,1392,139,Manufacture of textiles,Manufacturing
309,"Curtains, bed covers and furnishings related business activity",13921,1392,139,Manufacture of textiles,Manufacturing
309,"Services related to curtains, bed covers and furnishings",13921,1392,139,Manufacture of textiles,Manufacturing
310,Manufacture of crocheted made up textile goods except apparel,13922,1392,139,Manufacture of textiles,Manufacturing
310,Crocheted made up textile goods except apparel related business activity,13922,1392,139,Manufacture of textiles,Manufacturing
310,Services related to crocheted made up textile goods except apparel,13922,1392,139,Manufacture of textiles,Manufacturing
311,Manufacture of mosquito nets,13923,1392,139,Manufacture of textiles,Manufacturing
311,Mosquito nets related business activity,13923,1392,139,Manufacture of textiles,Manufacturing
311,Services related to mosquito nets,13923,1392,139,Manufacture of textiles,Manufacturing
312,"Manufacture of bedding, quilts pillows, sleeping bags etc.",13924,1392,139,Manufacture of textiles,Manufacturing
312,"Bedding, quilts pillows, sleeping bags etc. related business activity",13924,1392,139,Manufacture of textiles,Manufacturing
312,"Services related to bedding, quilts pillows, sleeping bags etc.",13924,1392,139,Manufacture of textiles,Manufacturing
313,Manufacture of tarpaulin,13925,1392,139,Manufacture of textiles,Manufacturing
313,Tarpaulin related business activity,13925,1392,139,Manufacture of textiles,Manufacturing
313,Services related to tarpaulin,13925,1392,139,Manufacture of textiles,Manufacturing
314,Manufacture of blankets,13926,1392,139,Manufacture of textiles,Manufacturing
314,Blankets related business activity,13926,1392,139,Manufacture of textiles,Manufacturing
314,Services related to blankets,13926,1392,139,Manufacture of textiles,Manufacturing
315,"Manufacture of other made-up textile articles, except apparel n.e.c.",13929,1392,139,Manufacture of textiles,Manufacturing
315,"Other made-up textile articles, except apparel n.e.c. related business activity",13929,1392,139,Manufacture of textiles,Manufacturing
315,"Services related to other made-up textile articles, except apparel n.e.c.",13929,1392,139,Manufacture of textiles,Manufacturing
316,Manufacture of carpets and other floor coverings made of cotton,13931,1393,139,Manufacture of textiles,Manufacturing
316,Carpets and other floor coverings made cotton related business activity,13931,1393,139,Manufacture of textiles,Manufacturing
316,Services related to carpets and other floor coverings made cotton,13931,1393,139,Manufacture of textiles,Manufacturing
317,Manufacture of carpets and other floor coverings made of wool,13932,1393,139,Manufacture of textiles,Manufacturing
317,Carpets and other floor coverings made wool related business activity,13932,1393,139,Manufacture of textiles,Manufacturing
317,Services related to carpets and other floor coverings made wool,13932,1393,139,Manufacture of textiles,Manufacturing
318,Manufacture of carpets and other floor coverings made of silk,13933,1393,139,Manufacture of textiles,Manufacturing
318,Carpets and other floor coverings made silk related business activity,13933,1393,139,Manufacture of textiles,Manufacturing
318,Services related to carpets and other floor coverings made silk,13933,1393,139,Manufacture of textiles,Manufacturing
319,Manufacture of carpets made of synthetic materials,13934,1393,139,Manufacture of textiles,Manufacturing
319,Carpets made synthetic materials related business activity,13934,1393,139,Manufacture of textiles,Manufacturing
319,Services related to carpets made synthetic materials,13934,1393,139,Manufacture of textiles,Manufacturing
320,"Manufacture of carpets, and other floor coverings made of jute, mesta and coir",13935,1393,139,Manufacture of textiles,Manufacturing
320,"Carpets, and other floor coverings made jute, mesta and coir related business activity",13935,1393,139,Manufacture of textiles,Manufacturing
320,"Services related to carpets, and other floor coverings made jute, mesta and coir",13935,1393,139,Manufacture of textiles,Manufacturing
321,Manufacture of other floor coverings n.e.c.,13939,1393,139,Manufacture of textiles,Manufacturing
321,Other floor coverings n.e.c. related business activity,13939,1393,139,Manufacture of textiles,Manufacturing
321,Services related to other floor coverings n.e.c.,13939,1393,139,Manufacture of textiles,Manufacturing
322,"Manufacture of thread, including thread ball making",13941,1394,139,Manufacture of textiles,Manufacturing
322,"Thread, including thread ball making related business activity",13941,1394,139,Manufacture of textiles,Manufacturing
322,"Services related to thread, including thread ball making",13941,1394,139,Manufacture of textiles,Manufacturing
323,Manufacture of cordage or rope made of jute,13942,1394,139,Manufacture of textiles,Manufacturing
323,Cordage or rope made jute related business activity,13942,1394,139,Manufacture of textiles,Manufacturing
323,Services related to cordage or rope made jute,13942,1394,139,Manufacture of textiles,Manufacturing
324,Manufacture of cordage or rope made of coir,13943,1394,139,Manufacture of textiles,Manufacturing
324,Cordage or rope made coir related business activity,13943,1394,139,Manufacture of textiles,Manufacturing
324,Services related to cordage or rope made coir,13943,1394,139,Manufacture of textiles,Manufacturing
325,Manufacture of rope and cordage made of synthetic material,13944,1394,139,Manufacture of textiles,Manufacturing
325,Rope and cordage made synthetic material related business activity,13944,1394,139,Manufacture of textiles,Manufacturing
325,Services related to rope and cordage made synthetic material,13944,1394,139,Manufacture of textiles,Manufacturing
326,"Manufacture of knotted netting of twine, cordage or rope (other than mosquito net)",13945,1394,139,Manufacture of textiles,Manufacturing
326,"Knotted netting twine, cordage or rope (other than mosquito net) related business activity",13945,1394,139,Manufacture of textiles,Manufacturing
326,"Services related to knotted netting twine, cordage or rope (other than mosquito net)",13945,1394,139,Manufacture of textiles,Manufacturing
327,"Manufacture of tapes, newar and wicks",13946,1394,139,Manufacture of textiles,Manufacturing
327,"Tapes, newar and wicks related business activity",13946,1394,139,Manufacture of textiles,Manufacturing
327,"Services related to tapes, newar and wicks",13946,1394,139,Manufacture of textiles,Manufacturing
328,Manufacture of other cordage or rope n.e.c.,13949,1394,139,Manufacture of textiles,Manufacturing
328,Other cordage or rope n.e.c. related business activity,13949,1394,139,Manufacture of textiles,Manufacturing
328,Services related to other cordage or rope n.e.c.,13949,1394,139,Manufacture of textiles,Manufacturing
329,Embroidery work and making of laces and fringes,13991,1399,139,Manufacture of textiles,Manufacturing
329,Embroidery work and making laces and fringes related business activity,13991,1399,139,Manufacture of textiles,Manufacturing
329,Services related to embroidery work and making laces and fringes,13991,1399,139,Manufacture of textiles,Manufacturing
330,Zari work and other ornamental trimmings,13992,1399,139,Manufacture of textiles,Manufacturing
330,Zari work and other ornamental trimmings related business activity,13992,1399,139,Manufacture of textiles,Manufacturing
330,Services related to zari work and other ornamental trimmings,13992,1399,139,Manufacture of textiles,Manufacturing
331,Manufacture of linolium and similar products,13993,1399,139,Manufacture of textiles,Manufacturing
331,Linolium and similar products related business activity,13993,1399,139,Manufacture of textiles,Manufacturing
331,Services related to linolium and similar products,13993,1399,139,Manufacture of textiles,Manufacturing
332,Manufacture of gas mantles,13994,1399,139,Manufacture of textiles,Manufacturing
332,Gas mantles related business activity,13994,1399,139,Manufacture of textiles,Manufacturing
332,Services related to gas mantles,13994,1399,139,Manufacture of textiles,Manufacturing
333,"Manufacture of made-up canvas goods such tents, sails etc.",13995,1399,139,Manufacture of textiles,Manufacturing
333,"Made-up canvas goods such tents, sails etc. related business activity",13995,1399,139,Manufacture of textiles,Manufacturing
333,"Services related to made-up canvas goods such tents, sails etc.",13995,1399,139,Manufacture of textiles,Manufacturing
334,Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampoons,13996,1399,139,Manufacture of textiles,Manufacturing
334,Wadding textile materials and articles wadding such as sanitary napkins and tampoons related business activity,13996,1399,139,Manufacture of textiles,Manufacturing
334,Services related to wadding textile materials and articles wadding such as sanitary napkins and tampoons,13996,1399,139,Manufacture of textiles,Manufacturing
335,"Manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic",13997,1399,139,Manufacture of textiles,Manufacturing
335,"Metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic related business activity",13997,1399,139,Manufacture of textiles,Manufacturing
335,"Services related to metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic",13997,1399,139,Manufacture of textiles,Manufacturing
336,Manufacture of waterproof textile excluding tarpulin,13998,1399,139,Manufacture of textiles,Manufacturing
336,Waterprotextile excluding tarpulin related business activity,13998,1399,139,Manufacture of textiles,Manufacturing
336,Services related to waterprotextile excluding tarpulin,13998,1399,139,Manufacture of textiles,Manufacturing
337,Manufacture of other textiles/textile products n.e.c.,13999,1399,139,Manufacture of textiles,Manufacturing
337,Other textiles/textile products n.e.c. related business activity,13999,1399,139,Manufacture of textiles,Manufacturing
337,Services related to other textiles/textile products n.e.c.,13999,1399,139,Manufacture of textiles,Manufacturing
338,Manufacture of all types of textile garments and clothing accessories,14101,1410,141,Manufacture of wearing apparel,Manufacturing
338,All types textile garments and clothing accessories related business activity,14101,1410,141,Manufacture of wearing apparel,Manufacturing
338,Services related to all types textile garments and clothing accessories,14101,1410,141,Manufacture of wearing apparel,Manufacturing
339,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings,14102,1410,141,Manufacture of wearing apparel,Manufacturing
339,Rain coats waterprotextile fabrics or plastic sheetings related business activity,14102,1410,141,Manufacture of wearing apparel,Manufacturing
339,Services related to rain coats waterprotextile fabrics or plastic sheetings,14102,1410,141,Manufacture of wearing apparel,Manufacturing
340,"Manufacture of hats, caps and other clothing accessories such as gloves, belts, ties, cravats, hairnets etc.",14103,1410,141,Manufacture of wearing apparel,Manufacturing
340,"Hats, caps and other clothing accessories such as gloves, belts, ties, cravats, hairnets etc. related business activity",14103,1410,141,Manufacture of wearing apparel,Manufacturing
340,"Services related to hats, caps and other clothing accessories such as gloves, belts, ties, cravats, hairnets etc.",14103,1410,141,Manufacture of wearing apparel,Manufacturing
341,Manufacture of wearing apparel made of leather and substitutes of leather,14104,1410,141,Manufacture of wearing apparel,Manufacturing
341,Wearing apparel made leather and substitutes leather related business activity,14104,1410,141,Manufacture of wearing apparel,Manufacturing
341,Services related to wearing apparel made leather and substitutes leather,14104,1410,141,Manufacture of wearing apparel,Manufacturing
342,Custom tailoring,14105,1410,141,Manufacture of wearing apparel,Manufacturing
342,Custom tailoring related business activity,14105,1410,141,Manufacture of wearing apparel,Manufacturing
342,Services related to custom tailoring,14105,1410,141,Manufacture of wearing apparel,Manufacturing
343,Manufacture of wearing apparel n.e.c.,14109,1410,141,Manufacture of wearing apparel,Manufacturing
343,Wearing apparel n.e.c. related business activity,14109,1410,141,Manufacture of wearing apparel,Manufacturing
343,Services related to wearing apparel n.e.c.,14109,1410,141,Manufacture of wearing apparel,Manufacturing
344,Manufacture of wearing apparel and clothing accessories made of fur,14201,1420,142,Manufacture of wearing apparel,Manufacturing
344,Wearing apparel and clothing accessories made fur related business activity,14201,1420,142,Manufacture of wearing apparel,Manufacturing
344,Services related to wearing apparel and clothing accessories made fur,14201,1420,142,Manufacture of wearing apparel,Manufacturing
345,Manufacture of fur and skin rugs and other similar articles,14202,1420,142,Manufacture of wearing apparel,Manufacturing
345,Fur and skin rugs and other similar articles related business activity,14202,1420,142,Manufacture of wearing apparel,Manufacturing
345,Services related to fur and skin rugs and other similar articles,14202,1420,142,Manufacture of wearing apparel,Manufacturing
346,Manufacture of other fur products n.e.c.,14209,1420,142,Manufacture of wearing apparel,Manufacturing
346,Other fur products n.e.c. related business activity,14209,1420,142,Manufacture of wearing apparel,Manufacturing
346,Services related to other fur products n.e.c.,14209,1420,142,Manufacture of wearing apparel,Manufacturing
347,"Manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape (pullovers, cardigans, jerseys, waistcoats and similar articles)",14301,1430,143,Manufacture of wearing apparel,Manufacturing
347,"Knitted or crocheted wearing apparel and other made-up articles directly into shape (pullovers, cardigans, jerseys, waistcoats and similar articles) related business activity",14301,1430,143,Manufacture of wearing apparel,Manufacturing
347,"Services related to knitted or crocheted wearing apparel and other made-up articles directly into shape (pullovers, cardigans, jerseys, waistcoats and similar articles)",14301,1430,143,Manufacture of wearing apparel,Manufacturing
348,Manufacture of other knitted and crocheted apparel including hosiery,14309,1430,143,Manufacture of wearing apparel,Manufacturing
348,Other knitted and crocheted apparel including hosiery related business activity,14309,1430,143,Manufacture of wearing apparel,Manufacturing
348,Services related to other knitted and crocheted apparel including hosiery,14309,1430,143,Manufacture of wearing apparel,Manufacturing
349,Flaying and curing of raw hides and skins,15111,1511,151,Manufacture of leather and related products,Manufacturing
349,Flaying and curing raw hides and skins related business activity,15111,1511,151,Manufacture of leather and related products,Manufacturing
349,Services related to flaying and curing raw hides and skins,15111,1511,151,Manufacture of leather and related products,Manufacturing
350,Tanning and finishing of sole leather,15112,1511,151,Manufacture of leather and related products,Manufacturing
350,Tanning and finishing sole leather related business activity,15112,1511,151,Manufacture of leather and related products,Manufacturing
350,Services related to tanning and finishing sole leather,15112,1511,151,Manufacture of leather and related products,Manufacturing
351,Tanning and finishing of industrial leather,15113,1511,151,Manufacture of leather and related products,Manufacturing
351,Tanning and finishing industrial leather related business activity,15113,1511,151,Manufacture of leather and related products,Manufacturing
351,Services related to tanning and finishing industrial leather,15113,1511,151,Manufacture of leather and related products,Manufacturing
352,"Scraping, currying, tanning, bleaching, shearing and plucking and dyeing of fur skins and hides with the hair on",15114,1511,151,Manufacture of leather and related products,Manufacturing
352,"Scraping, currying, tanning, bleaching, shearing and plucking and dyeing fur skins and hides with the hair on related business activity",15114,1511,151,Manufacture of leather and related products,Manufacturing
352,"Services related to scraping, currying, tanning, bleaching, shearing and plucking and dyeing fur skins and hides with the hair on",15114,1511,151,Manufacture of leather and related products,Manufacturing
353,"Finishing of upper leather, lining leather and garment leather etc.",15115,1511,151,Manufacture of leather and related products,Manufacturing
353,"Finishing upper leather, lining leather and garment leather etc. related business activity",15115,1511,151,Manufacture of leather and related products,Manufacturing
353,"Services related to finishing upper leather, lining leather and garment leather etc.",15115,1511,151,Manufacture of leather and related products,Manufacturing
354,Embroidering and embossing of leather articles,15116,1511,151,Manufacture of leather and related products,Manufacturing
354,Embroidering and embossing leather articles related business activity,15116,1511,151,Manufacture of leather and related products,Manufacturing
354,Services related to embroidering and embossing leather articles,15116,1511,151,Manufacture of leather and related products,Manufacturing
355,"Other tanning, curing, finishing, embossing etc. of leather",15119,1511,151,Manufacture of leather and related products,Manufacturing
