text,nic_code,nic_label,division
industry: iron ore mining for export,7100,Mining of iron ores,Mining
the company is engaged in sports goods manufacturing in india,32300,Manufacture of sports goods,Manufacturing
fish processing,10204,Processing and preserving of fish,Manufacturing
wire fencing making for domestic market,25993,Manufacture of metal cable and wire,Manufacturing
we dry and pack fish for export,10201,Sun-drying of fish,Manufacturing
my work is electrical installation,43211,Installation of electrical wiring,Construction
we are into dance music class,85420,Cultural education,Education
i do repair shop electronics,95210,Repair of consumer electronics,Services
i do diagnostic lab pathology,86905,Activities of diagnostic laboratories,Healthcare
this unit is involved in hospital clinic for export,86100,Hospital activities,Healthcare
my work is photography studio,74201,Commercial photograph production,Professional
the company is engaged in jewellery shop,47733,Retail sale of jewellery,Trade
our business is lock and key making,25934,Manufacture of padlocks and locks,Manufacturing
toy making,32401,Manufacture of dolls and toy animals,Manufacturing
fruit juice manufacturing,10304,Manufacture of fruit juices,Manufacturing
plywood manufacturing at home,16211,Manufacture of plywood and veneer,Manufacturing
we are into tailoring unit on small scale,14105,Custom tailoring,Manufacturing
we are into we grow sugarcane in my city,1140,Growing of sugar cane,Agriculture
this unit is involved in jaggery making,10722,Manufacture of gur from sugarcane,Manufacturing
our business is cosmetics making for local market,20237,Manufacture of cosmetics and toileteries,Manufacturing
flour mill,10611,Flour milling,Manufacturing
business activity: gold jewellery making for local market,32111,Manufacture of jewellery of gold silver,Manufacturing
our business is electrical installation for local market,43211,Installation of electrical wiring,Construction
i grow rice in india,1121,Organic farming of basmati rice,Agriculture
we do we make indian sweets at home,10734,Manufacture of sweetmeats,Manufacturing
dance music class in india,85420,Cultural education,Education
business activity: parcel delivery on small scale,53200,Courier activities,Transport
i do paddy cultivation on small scale,1121,Organic farming of basmati rice,Agriculture
cotton farming,1161,Growing of cotton,Agriculture
furniture making wood,31001,Manufacture of furniture of wood,Manufacturing
we do carpet making for domestic market,13931,Manufacture of carpets of cotton,Manufacturing
my work is plastic chair table making for export,22202,Manufacture of plastic household articles,Manufacturing
industry: bridge construction in india,42101,Construction of bridges and tunnels,Construction
i run a ice cream manufacturing in my city,10505,Manufacture of ice cream,Manufacturing
i am doing i make papad in my village,10796,Manufacture of papads and appalam,Manufacturing
our business is chit fund,64910,Financial leasing,Finance
we have a i make ghee,10504,Manufacture of cream butter cheese ghee,Manufacturing
prawn farming,3221,Fish farming in freshwater,Agriculture
we have a sand quarrying in my city,8106,Operation of sand or gravel pits,Mining
our business is we assemble mobile phones in my village,26305,Manufacture of pagers cellular phones,Manufacturing
auto rickshaw,49224,Taxi operation,Transport
dairy product making ghee butter,10504,Manufacture of cream butter cheese ghee,Manufacturing
we do i make agarbatti at home,20238,Manufacture of agarbatti,Manufacturing
this unit is involved in market research as msme,73200,Market research and public opinion polling,Professional
i run a truck transport for domestic market,49231,Motorised road freight transport,Transport
we deal in we grow sugarcane,1140,Growing of sugar cane,Agriculture
industry: packaged water business in my village,11043,Manufacture of mineral water,Manufacturing
we do mango orchard,1221,Growing of mangoes,Agriculture
grocery shop in my city,47211,Retail sale of cereals and pulses,Trade
poultry farming,1461,Raising and breeding of poultry,Agriculture
the company is engaged in beauty parlour salon,96020,Hairdressing and other beauty treatment,Services
i own a i make leather bags in my city,15121,Manufacture of travel goods and bags,Manufacturing
i do fireworks manufacturing,20292,Manufacture of explosives and fireworks,Manufacturing
we deal in packaging printing for local market,18119,Printing activities,Manufacturing
i do surgical instrument making,32504,Manufacture of bone plates and syringes,Manufacturing
we are into i keep bees and sell honey for domestic market,1492,Bee-keeping and production of honey,Agriculture
i am doing ceramic tile manufacturing for export,23921,Manufacture of bricks,Manufacturing
i own a placement agency hr,78100,Activities of employment placement agencies,Services
our business is real estate agent broker for domestic market,68200,Real estate activities on fee basis,Real Estate
business activity: coconut farming in my village,1261,Growing of coconut,Agriculture
the company is engaged in tyre manufacturing in india,22111,Manufacture of rubber tyres for motor vehicles,Manufacturing
i am doing spice farming for local market,1284,Growing of spices,Agriculture
solar energy plant,35105,Electric power generation using solar energy,Energy
we do real estate developer for domestic market,41001,Construction of buildings,Construction
we do hardware shop,47522,Retail sale of hardware,Trade
we have a auto rickshaw at home,49224,Taxi operation,Transport
private school for export,85211,General school education first stage,Education
cutting tool manufacturing,25931,Manufacture of cutlery,Manufacturing
i own a courier service in my city,53200,Courier activities,Transport
i do data entry work for export,63114,Providing data entry services,IT Services
i run a cyber cafe in india,63992,Activities of cyber cafe,IT Services
our business is i have a cow dairy in my city,1412,Production of milk from cows or buffaloes,Agriculture
we deal in apiary business for export,1492,Bee-keeping and production of honey,Agriculture
we deal in saree weaving in my city,13122,Weaving of silk fabrics,Manufacturing
i own a glass bangle making in india,23106,Manufacture of glass bangles,Manufacturing
this unit is involved in shipping agent on small scale,52292,Activities of shipping cargo agents,Transport
packaged water business in my city,11043,Manufacture of mineral water,Manufacturing
industry: we assemble mobile phones as msme,26305,Manufacture of pagers cellular phones,Manufacturing
dal mill,10613,Dal (pulses) milling,Manufacturing
industry: tailoring unit in my city,14105,Custom tailoring,Manufacturing
we are into jute bag making as msme,13942,Manufacture of cordage or rope of jute,Manufacturing
this unit is involved in spice farming for domestic market,1284,Growing of spices,Agriculture
i am doing i run a rice mill for local market,10612,Rice milling,Manufacturing
i grow non basmati rice on small scale,1122,Organic farming of non-basmati rice,Agriculture
i own a i make soap at home as msme,20231,Manufacture of soap all forms,Manufacturing
my work is paint manufacturing,20221,Manufacture of paints and varnishes,Manufacturing
pharmacy medical shop for domestic market,47721,Retail sale of pharmaceuticals,Healthcare
we do data entry work for local market,63114,Providing data entry services,IT Services
i run a soft drink manufacturing at home,11045,Manufacture of soft drinks,Manufacturing
i do jaggery making for domestic market,10722,Manufacture of gur from sugarcane,Manufacturing
jaggery making on small scale,10722,Manufacture of gur from sugarcane,Manufacturing
we mine coal for domestic market,5102,Belowground mining of hard coal,Mining
we make washing powder,20233,Manufacture of detergent,Manufacturing
i own a knitting hosiery unit,13913,Manufacture of knitted synthetic fabrics,Manufacturing
we deal in brassware manufacturing for export,25994,Manufacture of metal household articles,Manufacturing
we are into rice mill on small scale,10612,Rice milling,Manufacturing
industry: led bulb making at home,27400,Manufacture of electric lighting equipment,Manufacturing
industry: poultry farming in my village,1461,Raising and breeding of poultry,Agriculture
cattle feed manufacturing,10801,Manufacture of cattle feed,Manufacturing
i do event management in my village,82300,Organization of conventions and trade shows,Services
i am doing dance music class in my city,85420,Cultural education,Education
electric fan manufacturing,27503,Manufacture of electric fans,Manufacturing
i do we grow sugarcane in india,1140,Growing of sugar cane,Agriculture
our business is architect firm for local market,71100,Architectural and engineering activities,Professional
i own a milk production,1412,Production of milk from cows or buffaloes,Agriculture
we are into dhaba food stall in india,56101,Restaurants,Hospitality
vegetable farming in my city,1131,Growing of vegetables,Agriculture
my work is aerated drinks manufacturing at home,11041,Manufacture of aerated drinks,Manufacturing
i run a mobile phone shop,47414,Retail sale of telecommunication equipment,Trade
we do tea processing,10791,Processing and blending of tea,Manufacturing
chakki flour mill,10611,Flour milling,Manufacturing
we deal in mobile recharge shop as msme,61201,Activities of internet access wireless,IT Services
the company is engaged in readymade garments for export,14101,Manufacture of textile garments,Manufacturing
building construction as msme,41001,Construction of buildings,Construction
we dry and pack fish,10201,Sun-drying of fish,Manufacturing
parcel delivery,53200,Courier activities,Transport
this unit is involved in wire and cable manufacturing,27320,Manufacture of wires and cables,Manufacturing
we have a event management as msme,82300,Organization of conventions and trade shows,Services
wooden furniture unit,31001,Manufacture of furniture of wood,Manufacturing
industry: clothing shop in my village,47711,Retail sale of readymade garments,Trade
market research,73200,Market research and public opinion polling,Professional
i run a medicine pharmacy on small scale,47721,Retail sale of pharmaceuticals,Trade
this unit is involved in machine repair workshop for domestic market,33121,Repair of engines and turbines,Manufacturing
we do hair oil shampoo manufacturing for export,20236,Manufacture of hair oil and shampoo,Manufacturing
our business is ceramic tile manufacturing in india,23921,Manufacture of bricks,Manufacturing
we do steel manufacturing,24103,Manufacture of steel,Manufacturing
this unit is involved in i make ghee in my village,10504,Manufacture of cream butter cheese ghee,Manufacturing
my work is we grow onion for domestic market,1133,Growing of onion,Agriculture
industry: i make wooden furniture,31001,Manufacture of furniture of wood,Manufacturing
mobile phone manufacturing,26305,Manufacture of pagers cellular phones,Manufacturing
cotton yarn spinning for domestic market,13111,Preparation and spinning of cotton fiber,Manufacturing
i own a we grow tea at home,1271,Growing of tea,Agriculture
we have a pickle making in my village,10306,Manufacture of pickles and chutney,Manufacturing
i make soap at home at home,20231,Manufacture of soap all forms,Manufacturing
electricity distribution,35109,Collection and distribution of electric energy,Energy
business activity: mutual fund agent in india,66301,Management of mutual funds,Finance
building construction,41001,Construction of buildings,Construction
this unit is involved in printing press in india,18112,Printing of books and magazines,Manufacturing
we deal in we grow onion,1133,Growing of onion,Agriculture
i am doing pesticide manufacturing,20211,Manufacture of insecticides,Manufacturing
the company is engaged in highway building at home,42101,Construction of highways and roads,Construction
surgical cotton bandage making for local market,21006,Manufacture of medical wadding gauze bandages,Manufacturing
limestone mining,8107,Mining of limestone,Mining
industry: bridge construction for domestic market,42101,Construction of bridges and tunnels,Construction
the company is engaged in banana farming on small scale,1222,Growing of bananas,Agriculture
furniture making wood for export,31001,Manufacture of furniture of wood,Manufacturing
real estate developer,41001,Construction of buildings,Construction
photocopying shop on small scale,82191,Photocopying and duplicating services,Services
shipping agent,52292,Activities of shipping cargo agents,Transport
we deal in internet service provider for local market,61104,Activities providing internet access,IT Services
doctor medical practice,86201,Medical practice activities,Healthcare
i own a fast food centre at home,56102,Cafeterias and fast food restaurants,Hospitality
i run a i have a cow dairy as msme,1412,Production of milk from cows or buffaloes,Agriculture
book shop stationery for domestic market,47613,Retail sale of stationery,Trade
i own a pottery making,23931,Manufacture of articles of porcelain and pottery,Manufacturing
we have a shipping agent on small scale,52292,Activities of shipping cargo agents,Transport
we do cold storage warehouse as msme,52101,Warehousing of refrigerated goods,Transport
bakery unit,10711,Manufacture of bread,Manufacturing
i do papad making unit for export,10796,Manufacture of papads and appalam,Manufacturing
i run a soft drink manufacturing,11045,Manufacture of soft drinks,Manufacturing
we have a bolt nut manufacturing,25991,Manufacture of metal fasteners,Manufacturing
this unit is involved in paddy cultivation for local market,1121,Organic farming of basmati rice,Agriculture
we have a accountant ca firm for export,69201,Accounting and auditing activities,Finance
money lending in india,64920,Other credit granting,Finance
we have a advocate lawyer for local market,69100,Legal activities,Professional
business activity: cotton yarn spinning in my city,13111,Preparation and spinning of cotton fiber,Manufacturing
power loom,13121,Weaving of cotton fabrics,Manufacturing
i am doing power loom for domestic market,13121,Weaving of cotton fabrics,Manufacturing
the company is engaged in i run a rice mill in my village,10612,Rice milling,Manufacturing
business activity: cobbler shoe repair for local market,95230,Repair of footwear and leather goods,Services
highway building,42101,Construction of highways and roads,Construction
we are into photography studio in my village,74201,Commercial photograph production,Professional
machine repair workshop,33121,Repair of engines and turbines,Manufacturing
spice farming as msme,1284,Growing of spices,Agriculture
we deal in perfume making,20234,Manufacture of perfumes,Manufacturing
we are into rice cultivation in irrigated fields,1121,Organic farming of basmati rice,Agriculture
we do we grow onion,1133,Growing of onion,Agriculture
we have a gold jewellery making as msme,32111,Manufacture of jewellery of gold silver,Manufacturing
furniture making wood as msme,31001,Manufacture of furniture of wood,Manufacturing
i own a paper bag making,17024,Manufacture of sacks and bags of paper,Manufacturing
this unit is involved in lock and key making as msme,25934,Manufacture of padlocks and locks,Manufacturing
i own a gold jewellery making in my city,32111,Manufacture of jewellery of gold silver,Manufacturing
the company is engaged in cleaning services,81210,General cleaning of buildings,Services
i own a soft drink manufacturing,11045,Manufacture of soft drinks,Manufacturing
we have a stock broker for export,66120,Security and commodity contracts brokerage,Finance
industry: detergent manufacturing,20233,Manufacture of detergent,Manufacturing
paddy cultivation,1121,Organic farming of basmati rice,Agriculture
i do surgical cotton bandage making for local market,21006,Manufacture of medical wadding gauze bandages,Manufacturing
i own a surgical cotton bandage making on small scale,21006,Manufacture of medical wadding gauze bandages,Manufacturing
hospital clinic in my city,86100,Hospital activities,Healthcare
canteen mess for export,56292,Operation of canteens,Hospitality
business activity: chit fund,64910,Financial leasing,Finance
electronic goods shop,47420,Retail sale of audio and video equipment,Trade
i run a jewellery shop for local market,47733,Retail sale of jewellery,Trade
we deal in truck transport in my village,49231,Motorised road freight transport,Transport
i run a we make washing powder in my city,20233,Manufacture of detergent,Manufacturing
this unit is involved in nursing home,86100,Hospital activities,Healthcare
i own a plastic bag making in my village,22203,Manufacture of plastic articles for packing,Manufacturing
i do tin box can making for domestic market,25992,Manufacture of containers tins and cans,Manufacturing
we have a plumbing work,43221,Installation of plumbing,Construction
footwear manufacturing,15201,Manufacture of leather footwear,Manufacturing
we are into i grow cotton,1161,Growing of cotton,Agriculture
this unit is involved in mobile phone repair in my village,95120,Repair of communication equipment,Services
carpet making,13931,Manufacture of carpets of cotton,Manufacturing
i run a iron ore mining for domestic market,7100,Mining of iron ores,Mining
spectacle frame making at home,22206,Manufacture of spectacle frames of plastic,Manufacturing
i run a cutting tool manufacturing,25931,Manufacture of cutlery,Manufacturing
our business is readymade garments in my city,14101,Manufacture of textile garments,Manufacturing
i am doing ayurvedic medicine making,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
milk powder making,10502,Manufacture of milk powder,Manufacturing
i own a milk powder making,10502,Manufacture of milk powder,Manufacturing
i run a wire fencing making in my village,25993,Manufacture of metal cable and wire,Manufacturing
our business is imitation artificial jewellery for local market,32120,Manufacture of imitation jewellery,Manufacturing
industry: noodles and pasta manufacturing in my village,10740,Manufacture of macaroni and noodles,Manufacturing
we do milk powder making in my village,10502,Manufacture of milk powder,Manufacturing
industry: i make ghee for local market,10504,Manufacture of cream butter cheese ghee,Manufacturing
i own a road construction,42101,Construction of highways and roads,Construction
our business is we grow tea at home,1271,Growing of tea,Agriculture
business activity: plastic product manufacturing for export,22201,Manufacture of semi-finished plastic products,Manufacturing
handloom weaving,13121,Weaving of cotton fabrics,Manufacturing
i make gold jewellery at home,32111,Manufacture of jewellery of gold silver,Manufacturing
i am doing pottery making for local market,23931,Manufacture of articles of porcelain and pottery,Manufacturing
i am doing truck transport in my city,49231,Motorised road freight transport,Transport
i run a pest control in my village,81299,Other building and industrial cleaning,Services
we deal in battery manufacturing at home,27201,Manufacture of primary cells and batteries,Manufacturing
our business is iodized salt processing,10798,Processing of salt into food grade salt,Manufacturing
industry: online selling ecommerce,47912,Retail sale via e-commerce,Trade
business activity: poultry farming at home,1461,Raising and breeding of poultry,Agriculture
this unit is involved in pickle making at home,10306,Manufacture of pickles and chutney,Manufacturing
this unit is involved in packaged water business in my city,11043,Manufacture of mineral water,Manufacturing
i run a chit fund,64910,Financial leasing,Finance
we have a solar energy plant,35105,Electric power generation using solar energy,Energy
we do mutual fund agent in my village,66301,Management of mutual funds,Finance
this unit is involved in beauty parlour salon for domestic market,96020,Hairdressing and other beauty treatment,Services
we do two wheeler manufacturing in india,30911,Manufacture of motorcycles and scooters,Manufacturing
we deal in prawn farming,3221,Fish farming in freshwater,Agriculture
the company is engaged in iron and steel plant,24101,Manufacture of pig iron,Manufacturing
this unit is involved in bridge construction as msme,42101,Construction of bridges and tunnels,Construction
cotton yarn spinning,13111,Preparation and spinning of cotton fiber,Manufacturing
i run a grocery shop on small scale,47211,Retail sale of cereals and pulses,Trade
our business is skill training institute iti in my city,85221,Technical and vocational education,Education
i am doing spice grinding and processing for domestic market,10795,Grinding and processing of spices,Manufacturing
candle making,20238,Manufacture of agarbatti and similar products,Manufacturing
this unit is involved in veterinary doctor at home,75000,Veterinary activities,Professional
we are into we dry and pack fish as msme,10201,Sun-drying of fish,Manufacturing
wheat farming,1111,Growing of wheat,Agriculture
accountant ca firm,69201,Accounting and auditing activities,Finance
we have a carpet making in my city,13931,Manufacture of carpets of cotton,Manufacturing
i own a money lending,64920,Other credit granting,Finance
we are into i grow coconuts for local market,1261,Growing of coconut,Agriculture
i run a i raise chickens for local market,1461,Raising and breeding of poultry,Agriculture
i run a chakki flour mill for local market,10611,Flour milling,Manufacturing
hardware shop for local market,47522,Retail sale of hardware,Trade
i am doing canteen mess as msme,56292,Operation of canteens,Hospitality
we do soap making on small scale,20231,Manufacture of soap all forms,Manufacturing
aluminium product making at home,24202,Manufacture of aluminium products,Manufacturing
we do i keep bees and sell honey on small scale,1492,Bee-keeping and production of honey,Agriculture
i run a we make indian sweets for domestic market,10734,Manufacture of sweetmeats,Manufacturing
business activity: poultry farming in my city,1461,Raising and breeding of poultry,Agriculture
detergent manufacturing,20233,Manufacture of detergent,Manufacturing
i run a computer assembly for export,26201,Manufacture of desktop and laptop computers,Manufacturing
i am doing potato farming for domestic market,1135,Growing of potatoes and tubers,Agriculture
business activity: repair shop electronics,95210,Repair of consumer electronics,Services
we have a power loom at home,13121,Weaving of cotton fabrics,Manufacturing
kirana store,47211,Retail sale of food products,Trade
we do perfume making on small scale,20234,Manufacture of perfumes,Manufacturing
i am doing i make pickles,10306,Manufacture of pickles and chutney,Manufacturing
this unit is involved in granite quarrying in my city,8102,Quarrying of granite,Mining
we have a surgical instrument making for domestic market,32504,Manufacture of bone plates and syringes,Manufacturing
diamond cutting and polishing,32112,Working of diamonds and precious stones,Manufacturing
courier service,53200,Courier activities,Transport
i own a cement manufacturing in my city,23941,Manufacture of clinkers and cement,Manufacturing
i am doing bakery products for domestic market,10712,Manufacture of biscuits and cakes,Manufacturing
i do we grind spices as msme,10795,Grinding and processing of spices,Manufacturing
i own a dance music class for domestic market,85420,Cultural education,Education
detergent manufacturing in my village,20233,Manufacture of detergent,Manufacturing
sand quarrying for export,8106,Operation of sand or gravel pits,Mining
knife scissors making,25931,Manufacture of cutlery,Manufacturing
private school,85211,General school education first stage,Education
i am doing surgical instrument making in my city,32504,Manufacture of bone plates and syringes,Manufacturing
business activity: house construction,41001,Construction of buildings,Construction
i own a saree weaving,13122,Weaving of silk fabrics,Manufacturing
this unit is involved in furniture shop for local market,47591,Retail sale of household furniture,Trade
we are into i grow wheat on my farm,1111,Growing of wheat,Agriculture
we have a shipping agent as msme,52292,Activities of shipping cargo agents,Transport
i do photography studio in my village,74201,Commercial photograph production,Professional
i own a it consulting,62020,Computer consultancy,IT Services
iron and steel plant,24101,Manufacture of pig iron,Manufacturing
business activity: paper bag making as msme,17024,Manufacture of sacks and bags of paper,Manufacturing
industry: wooden toy making in india,32401,Manufacture of dolls and toy animals,Manufacturing
we are into petrol pump,47300,Retail sale of automotive fuel,Trade
the company is engaged in embroidery work in my village,13991,Embroidery work and making of laces,Manufacturing
i run a pump manufacturing on small scale,28132,Manufacture of pumps and compressors,Manufacturing
our business is we grind spices on small scale,10795,Grinding and processing of spices,Manufacturing
i make shoes chappal,15201,Manufacture of leather footwear,Manufacturing
tea stall in india,56302,Tea and coffee shops,Hospitality
our business is mobile bike repair shop,45403,Maintenance of motorcycles and scooters,Trade
i do poultry meat processing for domestic market,10104,Poultry slaughtering and preparation,Manufacturing
business activity: we make indian sweets for local market,10734,Manufacture of sweetmeats,Manufacturing
the company is engaged in we grow bananas,1222,Growing of bananas,Agriculture
my work is hotel restaurant as msme,55101,Hotels and motels providing lodging,Hospitality
we are into we make fruit juice in india,10304,Manufacture of fruit juices,Manufacturing
i own a pesticide manufacturing,20211,Manufacture of insecticides,Manufacturing
wholesale trader,46209,Wholesale of agriculture raw materials,Trade
i do taxi cab service in my village,49224,Taxi operation,Transport
my work is computer training centre in india,85491,Academic tutoring services,Education
electronic goods shop at home,47420,Retail sale of audio and video equipment,Trade
i do trucking business,49231,Motorised road freight transport,Transport
i am doing we cultivate wheat crops for local market,1111,Growing of wheat,Agriculture
industry: cement manufacturing in my city,23941,Manufacture of clinkers and cement,Manufacturing
i own a cotton farming,1161,Growing of cotton,Agriculture
we do we assemble mobile phones as msme,26305,Manufacture of pagers cellular phones,Manufacturing
i run a stock broker for export,66120,Security and commodity contracts brokerage,Finance
canteen mess,56292,Operation of canteens,Hospitality
i run a i grow non basmati rice in my village,1122,Organic farming of non-basmati rice,Agriculture
we have a highway building for domestic market,42101,Construction of highways and roads,Construction
industry: battery manufacturing in my city,27201,Manufacture of primary cells and batteries,Manufacturing
we make jaggery gur in my village,10722,Manufacture of gur from sugarcane,Manufacturing
we deal in iron ore mining as msme,7100,Mining of iron ores,Mining
the company is engaged in travel agency for local market,52291,Activities of travel agents,Transport
we have a garment stitching for export,14101,Manufacture of textile garments,Manufacturing
the company is engaged in banana farming in india,1222,Growing of bananas,Agriculture
medicine manufacturing allopathic for export,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
i run a tiffin catering service on small scale,56291,Activities of food service contractors,Hospitality
herbal medicine production for export,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
i own a cattle feed manufacturing,10801,Manufacture of cattle feed,Manufacturing
our business is highway building,42101,Construction of highways and roads,Construction
i am doing web design for export,62012,Web page designing,IT Services
my work is plywood manufacturing for export,16211,Manufacture of plywood and veneer,Manufacturing
pickle making for domestic market,10306,Manufacture of pickles and chutney,Manufacturing
i own a driving school for domestic market,85223,Professional motor driving school,Education
i am doing jute farming on small scale,1162,Growing of jute,Agriculture
we make fruit juice,10304,Manufacture of fruit juices,Manufacturing
business activity: we make washing powder in my city,20233,Manufacture of detergent,Manufacturing
industry: cardboard box making in my city,17023,Manufacture of card board boxes,Manufacturing
we have a money lending for local market,64920,Other credit granting,Finance
we have a event management,82300,Organization of conventions and trade shows,Services
my work is paint manufacturing for domestic market,20221,Manufacture of paints and varnishes,Manufacturing
our business is sweet shop making mithai,10734,Manufacture of sweetmeats,Manufacturing
i run a we make fruit juice in my village,10304,Manufacture of fruit juices,Manufacturing
we deal in pump manufacturing,28132,Manufacture of pumps and compressors,Manufacturing
business activity: dhaba food stall in my village,56101,Restaurants,Hospitality
we grow onion,1133,Growing of onion,Agriculture
we have a i have a cow dairy in my city,1412,Production of milk from cows or buffaloes,Agriculture
our business is plywood manufacturing in india,16211,Manufacture of plywood and veneer,Manufacturing
i do ceramic tile manufacturing,23921,Manufacture of bricks,Manufacturing
we are into readymade garments for export,14101,Manufacture of textile garments,Manufacturing
industry: pest control in my village,81299,Other building and industrial cleaning,Services
we have a wholesale trader in my city,46209,Wholesale of agriculture raw materials,Trade
our business is soft drink manufacturing in india,11045,Manufacture of soft drinks,Manufacturing
our business is ice cream manufacturing,10505,Manufacture of ice cream,Manufacturing
i am doing fruit juice manufacturing,10304,Manufacture of fruit juices,Manufacturing
i am doing candle making for domestic market,20238,Manufacture of agarbatti and similar products,Manufacturing
we have a it consulting on small scale,62020,Computer consultancy,IT Services
we have a taxi cab service on small scale,49224,Taxi operation,Transport
the company is engaged in web design at home,62012,Web page designing,IT Services
banana farming,1222,Growing of bananas,Agriculture
the company is engaged in paddy cultivation,1121,Organic farming of basmati rice,Agriculture
i do bolt nut manufacturing for domestic market,25991,Manufacture of metal fasteners,Manufacturing
sewing machine manufacturing for domestic market,28265,Manufacture of sewing machines,Manufacturing
this unit is involved in toothpaste manufacturing for local market,20235,Manufacture of dental hygiene preparations,Manufacturing
trucking business on small scale,49231,Motorised road freight transport,Transport
we deal in aerated drinks manufacturing,11041,Manufacture of aerated drinks,Manufacturing
business activity: brick manufacturing on small scale,23921,Manufacture of bricks,Manufacturing
this unit is involved in mango farming in konkan on small scale,1221,Growing of mangoes,Agriculture
trucking business,49231,Motorised road freight transport,Transport
business activity: fish processing in india,10204,Processing and preserving of fish,Manufacturing
college,85301,Higher education,Education
our business is juice shop in india,56303,Fruit juice bars,Hospitality
apiary business,1492,Bee-keeping and production of honey,Agriculture
industry: aluminium product making in my village,24202,Manufacture of aluminium products,Manufacturing
travel agency in my village,52291,Activities of travel agents,Transport
our business is bicycle manufacturing at home,30921,Manufacture of bicycles,Manufacturing
my work is mineral water plant,11043,Manufacture of mineral water,Manufacturing
money lending,64920,Other credit granting,Finance
we have a copper wire making in my village,24201,Manufacture of copper products,Manufacturing
i grow ginger,1281,Growing of ginger,Agriculture
we have a paint manufacturing at home,20221,Manufacture of paints and varnishes,Manufacturing
i do we make indian sweets as msme,10734,Manufacture of sweetmeats,Manufacturing
we deal in event catering on small scale,56210,Event catering,Hospitality
our business is i make agarbatti for domestic market,20238,Manufacture of agarbatti,Manufacturing
i own a market research,73200,Market research and public opinion polling,Professional
wind energy farm for export,35106,Electric power generation non conventional,Energy
we are into interior design work,43303,Interior painting and decorating,Construction
this unit is involved in i make wooden furniture on small scale,31001,Manufacture of furniture of wood,Manufacturing
industry: dal mill for export,10613,Dal (pulses) milling,Manufacturing
ayurvedic clinic,86901,Activities of Ayurveda practitioners,Healthcare
car manufacturing for export,29101,Manufacture of passenger cars,Manufacturing
i do we grow sugarcane on small scale,1140,Growing of sugar cane,Agriculture
mobile phone shop,47414,Retail sale of telecommunication equipment,Trade
business activity: steel manufacturing,24103,Manufacture of steel,Manufacturing
i run a event management,82300,Organization of conventions and trade shows,Services
we have a architect firm,71100,Architectural and engineering activities,Professional
our business is plumbing work,43221,Installation of plumbing,Construction
i grow coconuts,1261,Growing of coconut,Agriculture
ayurvedic clinic for export,86901,Activities of Ayurveda practitioners,Healthcare
this unit is involved in i grow ginger in my city,1281,Growing of ginger,Agriculture
i run a medical device manufacturing,32504,Manufacture of medical instruments,Manufacturing
we are into mineral water plant as msme,11043,Manufacture of mineral water,Manufacturing
we have a real estate agent broker for local market,68200,Real estate activities on fee basis,Real Estate
business activity: vegetable farming on small scale,1131,Growing of vegetables,Agriculture
i keep bees and sell honey,1492,Bee-keeping and production of honey,Agriculture
we have a homeopathic medicine on small scale,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
utensil making brass copper,25994,Manufacture of metal household articles,Manufacturing
i do gas agency cylinder as msme,35202,Distribution and sale of gaseous fuels,Energy
industry: paint manufacturing as msme,20221,Manufacture of paints and varnishes,Manufacturing
our business is brick manufacturing in my village,23921,Manufacture of bricks,Manufacturing
we have a i grow wheat on my farm,1111,Growing of wheat,Agriculture
i own a computer training centre as msme,85491,Academic tutoring services,Education
we are into fertilizer manufacturing at home,20121,Manufacture of urea and organic fertilizers,Manufacturing
the company is engaged in interior design work at home,43303,Interior painting and decorating,Construction
our business is footwear manufacturing on small scale,15201,Manufacture of leather footwear,Manufacturing
the company is engaged in noodles and pasta manufacturing in my village,10740,Manufacture of macaroni and noodles,Manufacturing
we have a iron ore mining for domestic market,7100,Mining of iron ores,Mining
event catering,56210,Event catering,Hospitality
plywood manufacturing,16211,Manufacture of plywood and veneer,Manufacturing
marble quarrying,8101,Quarrying of marble,Mining
we have a petrol pump as msme,47300,Retail sale of automotive fuel,Trade
i own a spice grinding and processing for local market,10795,Grinding and processing of spices,Manufacturing
chili farming,1282,Growing of chili,Agriculture
we do fireworks manufacturing at home,20292,Manufacture of explosives and fireworks,Manufacturing
business activity: cosmetics making as msme,20237,Manufacture of cosmetics and toileteries,Manufacturing
industry: poultry farming in my city,1461,Raising and breeding of poultry,Agriculture
i do tin box can making,25992,Manufacture of containers tins and cans,Manufacturing
i am doing vegetable farming as msme,1131,Growing of vegetables,Agriculture
cardboard box making for export,17023,Manufacture of card board boxes,Manufacturing
i am doing auto parts manufacturing on small scale,29301,Manufacture of motor vehicle parts,Manufacturing
our business is cosmetics making,20237,Manufacture of cosmetics and toileteries,Manufacturing
we have a tractor manufacturing,28211,Manufacture of tractors for agriculture,Manufacturing
vegetable fruit shop,47212,Retail sale of fresh fruit and vegetables,Trade
my work is rice mill in my city,10612,Rice milling,Manufacturing
i own a packaged water business for local market,11043,Manufacture of mineral water,Manufacturing
we deal in driving school,85223,Professional motor driving school,Education
we grow bananas as msme,1222,Growing of bananas,Agriculture
business activity: mobile phone shop,47414,Retail sale of telecommunication equipment,Trade
